,Type,Sex,Size,Intake Type,Intake Jurisdiction,PredomBreed,PredomColor,Type Sex,Type Size,Type Intake Type,Type Intake Jurisdiction,Type PredomBreed,Type PredomColor,Sex Size,Sex Intake Type,Sex Intake Jurisdiction,Sex PredomBreed,Sex PredomColor,Size Intake Type,Size Intake Jurisdiction,Size PredomBreed,Size PredomColor,Intake Type Intake Jurisdiction,Intake Type PredomBreed,Intake Type PredomColor,Intake Jurisdiction PredomBreed,Intake Jurisdiction PredomColor,PredomBreed PredomColor,Outcome Type
13801,1.0,2.0,1.0,1.0,10.0,27.0,19.0,2.0,1.0,1.0,10.0,27.0,19.0,2.0,2.0,20.0,54.0,38.0,1.0,10.0,27.0,19.0,10.0,27.0,19.0,270.0,190.0,513.0,2
13802,0.0,0.0,4.0,4.0,12.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,48.0,88.0,8.0,48.0,88.0,8.0,264.0,24.0,44.0,1
13803,1.0,3.0,5.0,2.0,10.0,15.0,15.0,3.0,5.0,2.0,10.0,15.0,15.0,15.0,6.0,30.0,45.0,45.0,10.0,50.0,75.0,75.0,20.0,30.0,30.0,150.0,150.0,225.0,3
13804,0.0,2.0,4.0,2.0,10.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,20.0,44.0,22.0,8.0,40.0,88.0,44.0,20.0,44.0,22.0,220.0,110.0,242.0,0
13805,0.0,4.0,4.0,4.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,32.0,88.0,0.0,16.0,32.0,88.0,0.0,32.0,88.0,0.0,176.0,0.0,0.0,3
13806,1.0,2.0,1.0,4.0,10.0,19.0,13.0,2.0,1.0,4.0,10.0,19.0,13.0,2.0,8.0,20.0,38.0,26.0,4.0,10.0,19.0,13.0,40.0,76.0,52.0,190.0,130.0,247.0,0
13807,0.0,2.0,2.0,1.0,8.0,38.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,16.0,76.0,28.0,2.0,16.0,76.0,28.0,8.0,38.0,14.0,304.0,112.0,532.0,3
13808,0.0,3.0,0.0,2.0,8.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,66.0,33.0,0.0,0.0,0.0,0.0,16.0,44.0,22.0,176.0,88.0,242.0,0
13809,1.0,1.0,2.0,4.0,8.0,3.0,1.0,1.0,2.0,4.0,8.0,3.0,1.0,2.0,4.0,8.0,3.0,1.0,8.0,16.0,6.0,2.0,32.0,12.0,4.0,24.0,8.0,3.0,3
13810,1.0,2.0,4.0,4.0,10.0,15.0,2.0,2.0,4.0,4.0,10.0,15.0,2.0,8.0,8.0,20.0,30.0,4.0,16.0,40.0,60.0,8.0,40.0,60.0,8.0,150.0,20.0,30.0,3
13811,0.0,2.0,0.0,4.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,40.0,88.0,0.0,220.0,0.0,0.0,0
13812,1.0,2.0,4.0,5.0,10.0,15.0,17.0,2.0,4.0,5.0,10.0,15.0,17.0,8.0,10.0,20.0,30.0,34.0,20.0,40.0,60.0,68.0,50.0,75.0,85.0,150.0,170.0,255.0,2
13813,1.0,3.0,1.0,4.0,10.0,33.0,19.0,3.0,1.0,4.0,10.0,33.0,19.0,3.0,12.0,30.0,99.0,57.0,4.0,10.0,33.0,19.0,40.0,132.0,76.0,330.0,190.0,627.0,2
13814,0.0,4.0,0.0,4.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40.0,88.0,0.0,0.0,0.0,0.0,0.0,40.0,88.0,0.0,220.0,0.0,0.0,3
